Variant,Antibody,Log_Kd,Log_Kd_SE,Max_Conc
Wuhan,AP1A10,1.388963833,0.066203619,25
Beta,AP1A10,1.869814313,NA,25
Lambda,AP1A10,1.792102682,0.025542336,25
Delta,AP1A10,1.845681439,0.059989789,25
Omicron,AP1A10,2.495925916,2.352220986,10
Wuhan,AP1A5,-0.987986008,0.040637562,10
Beta,AP1A5,1.76898567,0.721977658,10
Gamma,AP1A5,0.445419545,0.042124996,10
Mu,AP1A5,0.515006939,0.078617412,10
Lambda,AP1A5,0.120427749,0.10650375,10
Delta,AP1A5,0.727536027,0.063159019,10
Omicron,AP1A5,Constant,NA,10
Wuhan,AP1B1,-1.26092211,0.035482214,25
Beta,AP1B1,-0.388119707,0.069045401,25
Lambda,AP1B1,-0.907085579,0.09852717,25
Delta,AP1B1,-1.120492281,0.080272385,25
Wuhan,AP1B5,-0.716136483,1.001934693,25
Beta,AP1B5,1.224167383,0.103760343,25
Lambda,AP1B5,1.209614479,0.118183177,25
Delta,AP1B5,-1.559018278,0.517672653,25
Wuhan,AP1B6,-1.475599988,0.05394582,10
Beta,AP1B6,1.334106421,0.311494579,10
Gamma,AP1B6,-1.935360004,0.133484958,10
Mu,AP1B6,-1.079374665,0.146457997,10
Lambda,AP1B6,1.165442074,0.087741265,10
Delta,AP1B6,1.321444667,0.162687533,10
Omicron,AP1B6,1.16049087,0.114298277,10
Wuhan,AP1C3,-1.146681698,0.102373963,10
Beta,AP1C3,1.38255135,0.217699315,10
Gamma,AP1C3,0.622905821,0.040194536,10
Mu,AP1C3,1.09225984,0.069397906,10
Lambda,AP1C3,-2.470319531,0.111173392,10
Delta,AP1C3,-0.758108525,0.074026974,10
Omicron,AP1C3,0.676284245,0.040433073,10
Wuhan,AP1C5,-1.640912493,0.892366267,25
Beta,AP1C5,1.528862688,0.071718044,25
Lambda,AP1C5,1.340874134,0.081588658,25
Delta,AP1C5,0.006623177,0.226855186,25
Wuhan,AP1C7,0.430829719,0.318122589,25
Beta,AP1C7,1.641541766,NA,25
Lambda,AP1C7,1.377319798,0.268850619,25
Delta,AP1C7,1.286660509,0.194356166,25
Omicron,AP1C7,1.303355167,0.159924706,10
Wuhan,AP1D4,0.025418968,0.165375095,10
Beta,AP1D4,0.399065245,0.178040455,10
Gamma,AP1D4,1.501028217,0.44540793,10
Mu,AP1D4,0.582737017,0.159122624,10
Lambda,AP1D4,1.703236085,0.444633101,10
Delta,AP1D4,1.713054009,0.618489014,10
Omicron,AP1D4,Constant,NA,10
Wuhan,AP1D5,-0.527743913,0.128292914,25
Beta,AP1D5,1.783967583,0.0328062,25
Lambda,AP1D5,1.563833244,0.174608595,25
Delta,AP1D5,0.456347847,0.067599475,25
Omicron,AP1D5,1.20975544,0.096885501,10
Wuhan,AP1F10,1.331775182,0.201901005,10
Gamma,AP1F10,1.228432923,0.049849325,10
Mu,AP1F10,1.32953997,0.220578585,10
